buyer_id,company_name,target_hub_match,industry_category,city,state_name,postal_code,registered_address,ein_code,website,crawled_status,scraped_emails,scraped_phones,website_title,meta_description
00334b99-0e37-412d-924c-2d2608f34262,SUN & MOON RITUALS LLC,All-India (Agri & Food Processing),Food Products,Mount Dora,Florida,32757,1304 Calmito LN,,,not_crawled,,,,
0092d2d5-733d-4adc-ac5a-2eae96ded80e,First Steps Babywear Pvt Ltd,Tiruppur & Surat (Textiles & Apparel),Textile & Apparel Products,Alabama,New York,635109,"Plot No.E19.B, Phase-II Sipcot Industrial Complex Moranapalli Village Hosur – 635109 TamilNadu",,,not_crawled,,,,
0216e039-f539-485f-a86b-892fddb4b508,MEDHAS AI LLC,General Trade,General Trading,Cherry Hill,New Jersey,08002,"2230 Route 70W, STE 2",,https://medhas.ai,success,,,Medhas AI - Your Intelligent Partner for Ideas & Creativity,Precision AI for Efficiency and Productivity.
02981263-e073-4f87-b6ec-322f938a46f3,DrawingBoard Capital LLC,General Trade,Consultancy Services,New York City,New York,19901,"8 The Green, Ste A, Dover, DE",99-2223523,https://drawingboard.capital/,success,,8516222439,DrawingBoard Capital,"DrawingBoard is a Registered Investment Adviser that sources institutional-grade access to private secondaries, niche hedge funds, and direct investment opportunities for accredited investors."
02e09c89-f21e-4b56-9a5e-4e6efe5a170b,United Impex LLC,All-India (Agri & Food Processing),Food Products,Monmouth Junction,New Jersey,08852,"MONMOUTH JCT, NJ 08852",33-4860251,,not_crawled,,,,
0454b795-2059-4542-a428-349fffd45fa2,ASSURION TECHNOLOGIES INC / DBA The Betel Leaf USA,All-India (Agri & Food Processing),Food Products,Pawnee Dr,Maryland,12101,12101 Pawnee Dr,93-3965079,https://www.thebetelleafusa.com,success,sales@thebetelleafusa.com,"15608056247, 5054213049, 9978349682",The Betel Leaf USA,"The Betel Leaf Co introducing Dessert PAAN. Available in the USA, Made in an FDA Registered facility in India. Offering Arid (Dry) Paan, Chocolate Paan in different Dark, Milk, Strawberry & Mango. Roc"
0553d369-6eb4-4cf5-aa66-ad94812d7d9c,PINAKA FOODS INCORPORATED,All-India (Agri & Food Processing),Food Products,Piscataway,New Jersey,08854,5103 CUSTER ST,81-2618474,https://pinakafoods.aidaform.com/productlist,success,,,,
062d239e-3d71-42b2-8932-6dc2566214c8,NELBERRY LLC,All-India (Agri & Food Processing),Agricultural or Allied Products,Newton,Massachusetts,02465,57 NOBLE ST - 2,42-4483382,,not_crawled,,,,
069e4533-b59d-4d97-b881-b6afa1290a31,Narthanashaala LLC,General Trade,Education Services,Woodinville,Washington,98072,18832 NE 140th pl Woodinville WA,87-3323127,,not_crawled,,,,
07c6a2bb-5696-4b57-95e3-232722a91677,"RESHMI'S GROUP, INC",All-India (Agri & Food Processing),Food Products,Tukwila,Washington,98188,1120 ANDOVER PARK E,,https://www.reshmisgroup.com,success,"intl-segmenter@11.7.10, cs@rginw.com","2147483647, 7809912141, 7824074074",Reshmi's Group Inc | Snacks & Food,"Reshmi's Group Inc is a premier importer, wholesaler & distributor of TOP Indian & Pakistani food brands, such as Haldiram, National, Waghbakri, SIVA's, MTR, Zeeba, Crispy, Parliament, Tilda, Sher, Da"
